OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount,UnitPrice,CostPrice,SalesAmount,Profit,Region,OrderStatus
ORD05680,2024-01-01,CUST0259,P0129,3,0.1,43850.97,27932.89,118397.62,34598.95,South,Completed
ORD02776,2024-01-01,CUST0512,P0148,1,0.1,15484.78,9786.06,13936.3,4150.24,South,Completed
ORD08993,2024-01-01,CUST0295,P0004,3,0.05,20696.25,15931.27,58984.31,11190.5,South,Completed
ORD08607,2024-01-01,CUST0548,P0081,1,0.1,11112.68,6733.47,10001.41,3267.94,West,Completed
ORD05612,2024-01-01,CUST0966,P0023,1,0.1,29957.89,23747.89,26962.1,3214.21,West,Completed
ORD08176,2024-01-01,CUST0494,P0105,3,0.0,17543.79,10886.17,52631.37,19972.86,South,Completed
ORD05017,2024-01-01,CUST0023,P0028,2,0.15,1126.53,825.36,1915.1,264.38,South,Completed
ORD02301,2024-01-01,CUST0521,P0040,3,0.0,568.55,361.32,1705.65,621.69,North,Completed
ORD04624,2024-01-01,CUST0513,P0014,2,0.1,18597.52,13817.51,33475.54,5840.52,North,Completed
ORD09247,2024-01-01,CUST0800,P0182,1,0.2,15590.28,12172.38,12472.22,299.84,North,Completed
ORD01560,2024-01-01,CUST0413,P0076,4,0.15,20055.1,12211.29,68187.34,19342.18,South,Completed
ORD00007,2024-01-01,CUST0842,P0122,3,0.15,17942.76,13133.8,45754.04,6352.64,North,Completed
ORD09547,2024-01-02,CUST0269,P0192,2,0.0,20821.66,13717.57,41643.32,14208.18,East,Completed
ORD05079,2024-01-02,CUST0208,P0012,2,0.0,4072.78,2687.49,8145.56,2770.58,South,Cancelled
ORD04266,2024-01-02,CUST0761,P0009,1,0.0,724.93,490.11,724.93,234.82,North,Completed
ORD09952,2024-01-02,CUST0708,P0071,2,0.0,35759.59,27998.22,71519.18,15522.74,East,Pending
ORD05867,2024-01-02,CUST0145,P0091,1,0.15,49350.46,32483.04,41947.89,9464.85,South,Completed
ORD07206,2024-01-02,CUST0334,P0028,2,0.0,1126.53,825.36,2253.06,602.34,East,Completed
ORD05020,2024-01-02,CUST0754,P0068,4,0.0,41326.98,32432.51,165307.92,35577.88,South,Completed
ORD02053,2024-01-02,CUST0840,P0052,1,0.1,7440.54,4865.29,6696.49,1831.2,South,Completed
ORD02036,2024-01-02,CUST0109,P0079,2,0.15,409.51,310.64,696.17,74.89,South,Completed
ORD02234,2024-01-02,CUST0648,P0070,1,0.1,56679.56,41863.05,51011.6,9148.55,West,Completed
ORD04580,2024-01-02,CUST0557,P0093,1,0.1,10189.0,5911.08,9170.1,3259.02,West,Completed
ORD07858,2024-01-02,CUST0705,P0022,2,0.1,68945.25,50670.94,124101.45,22759.57,West,Cancelled
ORD05431,2024-01-03,CUST0256,P0024,2,0.1,792.84,470.21,1427.11,486.69,North,Completed
ORD02539,2024-01-03,CUST0923,P0019,1,0.05,27844.42,18931.51,26452.2,7520.69,South,Completed
ORD06538,2024-01-03,CUST0550,P0102,1,0.05,4149.23,2427.22,3941.77,1514.55,South,Completed
ORD08679,2024-01-03,CUST0118,P0120,3,0.0,57866.38,42176.37,173599.14,47070.03,North,Completed
ORD05185,2024-01-03,CUST0306,P0162,2,0.2,46811.03,27452.25,74897.65,19993.15,East,Completed
ORD01614,2024-01-03,CUST0106,P0054,1,0.15,34828.61,21081.63,29604.32,8522.69,North,Completed
ORD03003,2024-01-03,CUST0738,P0161,2,0.0,36827.84,23163.81,73655.68,27328.06,South,Completed
ORD06464,2024-01-03,CUST0991,P0099,3,0.0,908.9,743.94,2726.7,494.88,North,Completed
ORD06927,2024-01-03,CUST0599,P0187,1,0.05,184.91,120.68,175.66,54.98,West,Completed
ORD04987,2024-01-03,CUST0840,P0186,1,0.0,36288.91,28203.52,36288.91,8085.39,South,Completed
ORD04931,2024-01-03,CUST0809,P0194,4,0.0,13118.34,8489.04,52473.36,18517.2,North,Cancelled
ORD05917,2024-01-03,CUST0262,P0139,1,0.05,26827.4,18117.75,25486.03,7368.28,West,Completed
ORD01355,2024-01-03,CUST0012,P0105,1,0.0,17543.79,10886.17,17543.79,6657.62,East,Completed
ORD03854,2024-01-03,CUST0537,P0148,1,0.1,15484.78,9786.06,13936.3,4150.24,West,Completed
ORD02715,2024-01-04,CUST0934,P0172,1,0.15,53066.45,36105.87,45106.48,9000.61,East,Completed
ORD07490,2024-01-04,CUST0200,P0085,1,0.0,73872.61,56554.21,73872.61,17318.4,North,Completed
ORD03357,2024-01-04,CUST0105,P0122,5,0.1,17942.76,13133.8,80742.42,15073.42,South,Completed
ORD07851,2024-01-04,CUST0653,P0131,2,0.05,896.08,597.69,1702.55,507.17,West,Completed
ORD07115,2024-01-04,CUST0335,P0029,1,0.05,1310.65,844.84,1245.12,400.28,South,Completed
ORD00770,2024-01-04,CUST0516,P0023,3,0.2,29957.89,23747.89,71898.94,655.27,East,Completed
ORD05834,2024-01-04,CUST0569,P0009,2,0.1,724.93,490.11,1304.87,324.65,West,Completed
ORD07822,2024-01-04,CUST0360,P0166,3,0.1,47059.67,34982.34,127061.11,22114.09,West,Completed
ORD09887,2024-01-04,CUST0018,P0048,2,0.0,1114.29,876.19,2228.58,476.2,West,Completed
ORD07087,2024-01-04,CUST0908,P0073,3,0.15,15561.42,10813.46,39681.62,7241.24,East,Completed
ORD07482,2024-01-05,CUST0607,P0186,1,0.1,36288.91,28203.52,32660.02,4456.5,South,Completed
ORD01775,2024-01-05,CUST0158,P0101,1,0.15,51632.3,38843.18,43887.46,5044.28,South,Completed
ORD01825,2024-01-05,CUST0323,P0155,2,0.0,9808.49,7104.6,19616.98,5407.78,East,Completed
ORD06395,2024-01-05,CUST0459,P0163,1,0.15,3768.33,3060.43,3203.08,142.65,South,Completed
ORD04964,2024-01-05,CUST0038,P0079,4,0.0,409.51,310.64,1638.04,395.48,North,Completed
ORD08706,2024-01-05,CUST0767,P0138,1,0.1,30903.45,21958.56,27813.1,5854.54,West,Completed
ORD02478,2024-01-05,CUST0053,P0080,2,0.05,67342.32,40846.14,127950.41,46258.13,East,Completed
ORD06972,2024-01-05,CUST0128,P0121,2,0.0,975.23,645.82,1950.46,658.82,South,Completed
ORD07819,2024-01-05,CUST0476,P0083,2,0.0,374.27,289.15,748.54,170.24,South,Completed
ORD00539,2024-01-05,CUST0509,P0026,1,0.0,53440.86,40308.66,53440.86,13132.2,West,Completed
ORD06337,2024-01-05,CUST0720,P0068,2,0.2,41326.98,32432.51,66123.17,1258.15,North,Completed
ORD03819,2024-01-05,CUST0612,P0060,1,0.05,32036.99,25220.68,30435.14,5214.46,South,Completed
ORD02541,2024-01-05,CUST0223,P0059,1,0.15,1247.06,804.27,1060.0,255.73,South,Completed
ORD09681,2024-01-05,CUST0465,P0158,2,0.1,33125.35,22293.09,59625.63,15039.45,West,Completed
ORD04379,2024-01-05,CUST0977,P0112,2,0.1,20043.19,13117.75,36077.74,9842.24,East,Completed
ORD07223,2024-01-05,CUST0158,P0033,2,0.1,54569.41,31985.14,98224.94,34254.66,South,Completed
ORD06255,2024-01-05,CUST0167,P0010,1,0.05,16072.59,10816.67,15268.96,4452.29,South,Completed
ORD04766,2024-01-06,CUST0566,P0103,5,0.0,585.19,454.75,2925.95,652.2,North,Completed
ORD01169,2024-01-06,CUST0326,P0177,2,0.05,783.92,493.62,1489.45,502.21,North,Completed
ORD06031,2024-01-06,CUST0560,P0170,1,0.05,750.66,462.97,713.13,250.16,West,Completed
ORD04941,2024-01-06,CUST0438,P0090,1,0.2,446.05,334.33,356.84,22.51,West,Completed
ORD06656,2024-01-06,CUST0311,P0112,1,0.05,20043.19,13117.75,19041.03,5923.28,North,Completed
ORD06161,2024-01-06,CUST0268,P0011,3,0.05,50761.69,39171.65,144670.82,27155.87,North,Completed
ORD02231,2024-01-06,CUST0466,P0042,2,0.1,10683.47,6548.45,19230.25,6133.35,South,Completed
ORD06212,2024-01-06,CUST0399,P0023,2,0.1,29957.89,23747.89,53924.2,6428.42,East,Cancelled
ORD07243,2024-01-06,CUST0571,P0043,4,0.1,528.82,390.77,1903.75,340.67,West,Cancelled
ORD01340,2024-01-06,CUST0980,P0172,4,0.05,53066.45,36105.87,201652.51,57229.03,West,Completed
ORD08499,2024-01-06,CUST0881,P0114,3,0.1,16683.02,10299.86,45044.15,14144.57,East,Completed
ORD03986,2024-01-07,CUST0105,P0081,4,0.1,11112.68,6733.47,40005.65,13071.77,South,Completed
ORD01271,2024-01-07,CUST0056,P0115,3,0.0,9526.21,7338.52,28578.63,6563.07,North,Completed
ORD03689,2024-01-07,CUST0637,P0183,2,0.1,66902.29,49511.88,120424.12,21400.36,North,Completed
ORD03912,2024-01-07,CUST0355,P0150,3,0.05,53462.03,36715.83,152366.79,42219.3,North,Completed
ORD06363,2024-01-07,CUST0473,P0187,1,0.0,184.91,120.68,184.91,64.23,West,Completed
ORD00102,2024-01-07,CUST0741,P0120,1,0.05,57866.38,42176.37,54973.06,12796.69,South,Completed
ORD09715,2024-01-07,CUST0406,P0041,3,0.1,4003.54,2383.24,10809.56,3659.84,West,Completed
ORD04095,2024-01-07,CUST0604,P0196,3,0.0,385.78,231.62,1157.34,462.48,South,Completed
ORD03771,2024-01-07,CUST0338,P0142,1,0.1,4782.08,3282.92,4303.87,1020.95,North,Completed
ORD03860,2024-01-07,CUST0713,P0001,1,0.15,796.95,617.19,677.41,60.22,West,Completed
ORD01353,2024-01-07,CUST0270,P0189,4,0.15,38312.77,25713.12,130263.42,27410.94,West,Completed
ORD03116,2024-01-07,CUST0213,P0008,1,0.15,68633.55,51583.32,58338.52,6755.2,North,Completed
ORD05253,2024-01-07,CUST0417,P0151,4,0.1,5830.9,4665.5,20991.24,2329.24,North,Completed
ORD09519,2024-01-07,CUST0420,P0122,1,0.0,17942.76,13133.8,17942.76,4808.96,South,Completed
ORD02192,2024-01-07,CUST0283,P0035,4,0.05,56932.8,34147.01,216344.64,79756.6,East,Completed
ORD00559,2024-01-07,CUST0019,P0038,1,0.05,25137.53,20080.78,23880.65,3799.87,West,Completed
