ProductID,ProductName,Category,SubCategory,UnitPrice,CostPrice
P0001,Paper 001,Office Supplies,Paper,796.95,617.19
P0002,Running Shoes 002,Sports,Running Shoes,6203.85,4038.58
P0003,Microwave 003,Home Appliances,Microwave,15581.84,9713.54
P0004,Smartphone 004,Electronics,Smartphone,20696.25,15931.27
P0005,Stationery Set 005,Office Supplies,Stationery Set,759.62,541.79
P0006,Camera 006,Electronics,Camera,51610.25,30768.51
P0007,Microwave 007,Home Appliances,Microwave,8223.62,4942.96
P0008,Air Conditioner 008,Home Appliances,Air Conditioner,68633.55,51583.32
P0009,Stationery Set 009,Office Supplies,Stationery Set,724.93,490.11
P0010,Microwave 010,Home Appliances,Microwave,16072.59,10816.67
P0011,Washing Machine 011,Home Appliances,Washing Machine,50761.69,39171.65
P0012,Headphones 012,Electronics,Headphones,4072.78,2687.49
P0013,Cricket Bat 013,Sports,Cricket Bat,8923.66,6594.73
P0014,Printer 014,Office Supplies,Printer,18597.52,13817.51
P0015,Sofa 015,Furniture,Sofa,18890.43,14292.88
P0016,Microwave 016,Home Appliances,Microwave,20196.29,11952.43
P0017,Bed 017,Furniture,Bed,17284.69,10596.05
P0018,Chair 018,Furniture,Chair,4596.19,2818.15
P0019,Sofa 019,Furniture,Sofa,27844.42,18931.51
P0020,Monitor 020,Electronics,Monitor,14020.39,10682.55
P0021,Cricket Bat 021,Sports,Cricket Bat,6878.25,5112.71
P0022,Refrigerator 022,Home Appliances,Refrigerator,68945.25,50670.94
P0023,Bed 023,Furniture,Bed,29957.89,23747.89
P0024,Stationery Set 024,Office Supplies,Stationery Set,792.84,470.21
P0025,Sofa 025,Furniture,Sofa,49570.32,37427.29
P0026,Refrigerator 026,Home Appliances,Refrigerator,53440.86,40308.66
P0027,Tablet 027,Electronics,Tablet,20926.64,14284.36
P0028,Football 028,Sports,Football,1126.53,825.36
P0029,Football 029,Sports,Football,1310.65,844.84
P0030,Printer 030,Office Supplies,Printer,23508.75,18216.9
P0031,Microwave 031,Home Appliances,Microwave,12553.48,9544.5
P0032,Tablet 032,Electronics,Tablet,39614.35,24714.41
P0033,Camera 033,Electronics,Camera,54569.41,31985.14
P0034,Notebook 034,Office Supplies,Notebook,143.7,100.11
P0035,Washing Machine 035,Home Appliances,Washing Machine,56932.8,34147.01
P0036,Paper 036,Office Supplies,Paper,1008.83,797.09
P0037,Sofa 037,Furniture,Sofa,58358.81,45854.58
P0038,Smartphone 038,Electronics,Smartphone,25137.53,20080.78
P0039,Stationery Set 039,Office Supplies,Stationery Set,1717.54,1277.52
P0040,Notebook 040,Office Supplies,Notebook,568.55,361.32
P0041,Running Shoes 041,Sports,Running Shoes,4003.54,2383.24
P0042,Chair 042,Furniture,Chair,10683.47,6548.45
P0043,Paper 043,Office Supplies,Paper,528.82,390.77
P0044,Washing Machine 044,Home Appliances,Washing Machine,59463.82,38619.72
P0045,Football 045,Sports,Football,2217.01,1355.93
P0046,Laptop 046,Electronics,Laptop,61902.8,37121.36
P0047,Football 047,Sports,Football,1004.63,793.19
P0048,Football 048,Sports,Football,1114.29,876.19
P0049,Laptop 049,Electronics,Laptop,56396.41,44202.58
P0050,Table 050,Furniture,Table,8890.7,6907.47
P0051,Air Conditioner 051,Home Appliances,Air Conditioner,57445.48,35926.8
P0052,Headphones 052,Electronics,Headphones,7440.54,4865.29
P0053,Notebook 053,Office Supplies,Notebook,422.63,329.18
P0054,Tablet 054,Electronics,Tablet,34828.61,21081.63
P0055,Cricket Bat 055,Sports,Cricket Bat,6422.29,4812.56
P0056,Notebook 056,Office Supplies,Notebook,312.97,191.98
P0057,Stationery Set 057,Office Supplies,Stationery Set,911.67,722.71
P0058,Printer 058,Office Supplies,Printer,7347.4,4878.31
P0059,Stationery Set 059,Office Supplies,Stationery Set,1247.06,804.27
P0060,Tablet 060,Electronics,Tablet,32036.99,25220.68
P0061,Smartphone 061,Electronics,Smartphone,49224.25,33194.34
P0062,Cricket Bat 062,Sports,Cricket Bat,7214.7,5874.11
P0063,Printer 063,Office Supplies,Printer,12786.65,8472.2
P0064,Smartphone 064,Electronics,Smartphone,20038.07,13846.76
P0065,Camera 065,Electronics,Camera,21598.4,14583.7
P0066,Smartphone 066,Electronics,Smartphone,15521.48,11472.78
P0067,Cricket Bat 067,Sports,Cricket Bat,5933.02,4559.02
P0068,Tablet 068,Electronics,Tablet,41326.98,32432.51
P0069,Notebook 069,Office Supplies,Notebook,196.15,126.8
P0070,Smartphone 070,Electronics,Smartphone,56679.56,41863.05
P0071,Camera 071,Electronics,Camera,35759.59,27998.22
P0072,Monitor 072,Electronics,Monitor,28334.52,18780.23
P0073,Microwave 073,Home Appliances,Microwave,15561.42,10813.46
P0074,Air Conditioner 074,Home Appliances,Air Conditioner,40981.75,23771.65
P0075,Headphones 075,Electronics,Headphones,6740.18,4364.5
P0076,Smartphone 076,Electronics,Smartphone,20055.1,12211.29
P0077,Bed 077,Furniture,Bed,50047.7,37709.36
P0078,Laptop 078,Electronics,Laptop,66750.32,43644.61
P0079,Stationery Set 079,Office Supplies,Stationery Set,409.51,310.64
P0080,Laptop 080,Electronics,Laptop,67342.32,40846.14
P0081,Headphones 081,Electronics,Headphones,11112.68,6733.47
P0082,Smartphone 082,Electronics,Smartphone,14583.87,9123.23
P0083,Notebook 083,Office Supplies,Notebook,374.27,289.15
P0084,Sofa 084,Furniture,Sofa,52737.3,39276.81
P0085,Air Conditioner 085,Home Appliances,Air Conditioner,73872.61,56554.21
P0086,Football 086,Sports,Football,519.82,398.56
P0087,Headphones 087,Electronics,Headphones,11879.48,8267.83
P0088,Air Conditioner 088,Home Appliances,Air Conditioner,58121.47,37608.48
P0089,Laptop 089,Electronics,Laptop,74892.61,50603.0
P0090,Stationery Set 090,Office Supplies,Stationery Set,446.05,334.33
P0091,Bed 091,Furniture,Bed,49350.46,32483.04
