ReturnID,OrderID,ReturnDate,ReturnReason,ReturnStatus
RET0001,ORD04155,2025-07-17,Quality Issue,Returned
RET0002,ORD01644,2025-06-29,Late Delivery,Returned
RET0003,ORD02009,2025-08-27,Customer Changed Mind,Returned
RET0004,ORD05305,2024-09-11,Late Delivery,Returned
RET0005,ORD04161,2024-03-16,Damaged,Returned
RET0006,ORD07429,2024-09-02,Damaged,Returned
RET0007,ORD02550,2025-12-31,Late Delivery,Returned
RET0008,ORD01338,2025-12-10,Customer Changed Mind,Returned
RET0009,ORD03901,2025-08-19,Damaged,Returned
RET0010,ORD00066,2025-03-17,Late Delivery,Returned
RET0011,ORD08568,2025-06-07,Wrong Product,Returned
RET0012,ORD09881,2024-03-26,Quality Issue,Returned
RET0013,ORD09391,2024-10-06,Late Delivery,Returned
RET0014,ORD06616,2024-05-02,Damaged,Returned
RET0015,ORD02992,2025-10-12,Late Delivery,Returned
RET0016,ORD09650,2024-01-26,Customer Changed Mind,Returned
RET0017,ORD04464,2024-08-21,Damaged,Returned
RET0018,ORD01120,2024-01-25,Customer Changed Mind,Returned
RET0019,ORD01353,2024-01-07,Customer Changed Mind,Returned
RET0020,ORD04670,2025-12-25,Customer Changed Mind,Returned
RET0021,ORD06958,2024-05-30,Late Delivery,Returned
RET0022,ORD03680,2025-12-06,Damaged,Returned
RET0023,ORD07042,2024-03-19,Customer Changed Mind,Returned
RET0024,ORD03181,2024-11-05,Wrong Product,Returned
RET0025,ORD04981,2024-07-25,Quality Issue,Returned
RET0026,ORD02777,2024-01-08,Late Delivery,Returned
RET0027,ORD06659,2025-08-27,Wrong Product,Returned
RET0028,ORD07830,2024-08-29,Damaged,Returned
RET0029,ORD01278,2025-06-16,Quality Issue,Returned
RET0030,ORD03313,2025-11-25,Customer Changed Mind,Returned
RET0031,ORD06228,2025-02-26,Wrong Product,Returned
RET0032,ORD07960,2024-05-10,Wrong Product,Returned
RET0033,ORD08290,2025-01-13,Customer Changed Mind,Returned
RET0034,ORD06453,2024-05-19,Customer Changed Mind,Returned
RET0035,ORD06603,2024-06-29,Wrong Product,Returned
RET0036,ORD07336,2025-06-19,Damaged,Returned
RET0037,ORD06560,2024-10-24,Late Delivery,Returned
RET0038,ORD08127,2025-10-13,Damaged,Returned
RET0039,ORD01119,2024-06-16,Damaged,Returned
RET0040,ORD05012,2024-09-27,Late Delivery,Returned
RET0041,ORD02863,2025-12-12,Damaged,Returned
RET0042,ORD06921,2025-10-28,Quality Issue,Returned
RET0043,ORD00855,2025-04-08,Customer Changed Mind,Returned
RET0044,ORD08496,2024-07-21,Wrong Product,Returned
RET0045,ORD09978,2025-08-17,Late Delivery,Returned
RET0046,ORD00002,2025-02-17,Damaged,Returned
RET0047,ORD01703,2024-05-06,Wrong Product,Returned
RET0048,ORD03737,2025-08-27,Quality Issue,Returned
RET0049,ORD00739,2025-01-13,Damaged,Returned
RET0050,ORD07519,2025-07-05,Damaged,Returned
RET0051,ORD04730,2024-07-21,Damaged,Returned
RET0052,ORD07629,2024-12-09,Quality Issue,Returned
RET0053,ORD04160,2024-04-15,Customer Changed Mind,Returned
RET0054,ORD03316,2024-09-16,Wrong Product,Returned
RET0055,ORD03471,2024-05-11,Damaged,Returned
RET0056,ORD04613,2025-06-25,Damaged,Returned
RET0057,ORD03553,2024-09-22,Quality Issue,Returned
RET0058,ORD01561,2024-04-03,Quality Issue,Returned
RET0059,ORD08636,2025-02-15,Wrong Product,Returned
RET0060,ORD05538,2025-04-11,Wrong Product,Returned
RET0061,ORD00945,2024-04-05,Damaged,Returned
RET0062,ORD06204,2025-05-14,Damaged,Returned
RET0063,ORD02915,2025-11-11,Damaged,Returned
RET0064,ORD09043,2024-02-15,Damaged,Returned
RET0065,ORD01694,2025-05-18,Damaged,Returned
RET0066,ORD06173,2024-12-12,Quality Issue,Returned
RET0067,ORD06597,2025-03-30,Customer Changed Mind,Returned
RET0068,ORD06493,2025-07-08,Wrong Product,Returned
RET0069,ORD07354,2025-08-02,Quality Issue,Returned
RET0070,ORD03990,2025-05-15,Late Delivery,Returned
RET0071,ORD03972,2024-12-07,Late Delivery,Returned
RET0072,ORD05746,2025-10-16,Late Delivery,Returned
RET0073,ORD07390,2024-10-06,Wrong Product,Returned
RET0074,ORD06798,2025-08-20,Damaged,Returned
RET0075,ORD04642,2024-07-06,Late Delivery,Returned
RET0076,ORD02611,2025-06-20,Late Delivery,Returned
RET0077,ORD04688,2024-09-14,Customer Changed Mind,Returned
RET0078,ORD03362,2025-08-27,Quality Issue,Returned
RET0079,ORD02664,2025-12-08,Wrong Product,Returned
RET0080,ORD06119,2024-09-09,Wrong Product,Returned
RET0081,ORD01404,2024-09-24,Customer Changed Mind,Returned
RET0082,ORD00012,2024-07-01,Late Delivery,Returned
RET0083,ORD04332,2025-12-07,Customer Changed Mind,Returned
RET0084,ORD01794,2024-09-11,Damaged,Returned
RET0085,ORD09152,2025-08-01,Late Delivery,Returned
RET0086,ORD09919,2024-05-05,Wrong Product,Returned
RET0087,ORD02171,2025-02-09,Quality Issue,Returned
RET0088,ORD01970,2024-04-22,Customer Changed Mind,Returned
RET0089,ORD03034,2024-09-27,Customer Changed Mind,Returned
RET0090,ORD02508,2025-05-25,Wrong Product,Returned
RET0091,ORD04007,2025-09-16,Late Delivery,Returned
RET0092,ORD02874,2024-09-29,Late Delivery,Returned
RET0093,ORD07909,2024-04-17,Late Delivery,Returned
RET0094,ORD01980,2024-01-15,Quality Issue,Returned
RET0095,ORD06110,2025-03-06,Quality Issue,Returned
